ID,Brand,Name,Original Price,Price,Category,site
21740268,New look,Сиреневый комплект из кардигана и топа на бретельках New Look,1590,1590,Кардиган,asos
21719239,Vero moda,Черный топ с пышными рукавами и сборками Vero Moda Petite,2190,2190,Топ,asos
21718023,Hollister,Рубашка Hollister,2790,2790,Рубашка,asos
21706833,Asos design,Футболка без рукавов с подплечниками и леопардовым принтом ASOS DESIGN,1590,1590,Футболка,asos
21682242,Asos design,Трикотажный однобортный пиджак в сиреневом цвете ASOS DESIGN,2390,2390,Пиджак,asos
21675147,River island,Белая футболка с V-образным вырезом и пуговицами на рукавах River Island,1190,1190,Футболка,asos
21671705,Asos design,Серое боди с длинными рукавами и швом под грудью ASOS DESIGN Petite,1590,1590,Боди,asos
21670262,Asos design,Розовый кардиган без застежки ASOS DESIGN,2890,2890,Кардиган,asos
21623060,Asos design,Уютный свитшот-кокон в стиле oversized серо-коричневого цвета ASOS DESIGN Curve,2190,2190,Свитшот,asos
21623058,Asos design,Серый меланжевый свитшот свободного кроя с широкими рукавами ASOS DESIGN Curve,1790,1790,Свитшот,asos
21614194,Asos design,Темно-зеленая плиссированная футболка с пышными рукавами ASOS DESIGN Tall,2190,2190,Футболка,asos
21594315,Asos design,Голубой джемпер с воротником поло ASOS DESIGN,2690,2690,Джемпер,asos
21588993,Public desire,Oversized-худи от комплекта Public Desire x Carms,2890,2890,Худи,asos
21586796,Mamalicious,Черная блузка с сетчатым верхом и цветочным принтом для будущих мам Mamalicious Maternity,2890,2890,Блузка,asos
21562809,Berghaus,Черная футболка с логотипом на груди и спине Berghaus Heritage,2390,2390,Футболка,asos
21559590,Asos design,Бежевое свободное платье мини из органзы добби с высоким воротом и лямками на спине ASOS DESIGN Petite,3690,3690,Платье,asos
21552013,Asos design,Серые меланжевые шорты для дома от комплекта ASOS DESIGN,1390,1390,Комплект,asos
21552003,Asos design,Серый меланжевый свитшот для дома от комплекта ASOS DESIGN,1990,1990,Свитшот,asos
